"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.11623209297021e-21,1.02162914035316,0.379,0.2,7.6569109571894e-17,"0","RHOH"
6.90178892662545e-21,0.963582920403495,0.353,0.179,8.6403495572424e-17,"0","OCIAD2"
7.19884122258587e-21,0.99209211768853,0.416,0.235,9.01222932655525e-17,"0","DNAJB1"
1.18616487551163e-20,0.786009885947114,0.525,0.336,1.48495980765301e-16,"0","ST13"
1.38304387919784e-20,0.608615182403648,0.701,0.529,1.73143263236778e-16,"0","COMMD6"
1.74508363671271e-20,0.640047178373916,0.466,0.256,2.18467020480064e-16,"0","CD2"
3.10352379147352e-20,0.31836308366796,0.979,0.946,3.8853014345457e-16,"0","HNRNPA1"
3.5347556981755e-20,0.42596651548851,0.757,0.57,4.42516065854591e-16,"0","HINT1"
4.47970105488753e-20,0.697459572772743,0.554,0.348,5.6081377506137e-16,"0","RGS10"
9.73389457122287e-20,0.478424034689389,0.765,0.565,1.21858626137139e-15,"0","EIF4A2"
2.32918323437425e-19,0.732774484385459,0.44,0.259,2.91590449111312e-15,"0","PPA1"
4.86052619639775e-19,0.844238353049784,0.278,0.127,6.08489274527035e-15,"0","AQP3"
5.49028639160052e-19,0.893861197818267,0.412,0.241,6.87328953364469e-15,"0","GYPC"
1.85955997687117e-18,0.839048896593928,0.41,0.24,2.32798313504501e-14,"0","PRDX2"
1.9383261756427e-18,0.343329608593208,0.931,0.872,2.4265905392871e-14,"0","PABPC1"
4.80731631545886e-18,0.330690379019,0.928,0.846,6.01827929532294e-14,"0","RPL23"
2.14835212582019e-17,0.926893111074314,0.425,0.252,2.68952202631429e-13,"0","ACAP1"
7.8162738709186e-17,0.254532136391642,0.999,0.994,9.785193259003e-13,"0","GNB2L1"
3.7519965819148e-16,0.431940799279262,0.763,0.581,4.69712452089914e-12,"0","ZFP36L2"
4.63541730368171e-16,1.01837259603849,0.284,0.147,5.80307892247913e-12,"0","PSIP1"
5.35985614545414e-16,0.373604436677893,0.829,0.683,6.71000390849404e-12,"0","SRSF5"
1.47903275985929e-15,0.401180698603445,0.656,0.47,1.85160111206784e-11,"0","GIMAP7"
1.99796442660506e-15,0.783737529752365,0.329,0.179,2.50125166566688e-11,"0","LAT"
2.77280371174803e-15,0.597499888920205,0.481,0.309,3.47127296673736e-11,"0","CD69"
3.33833583521069e-15,0.781613017895583,0.356,0.21,4.17926263210027e-11,"0","SLC2A3"
3.56534491870343e-15,0.847097177922643,0.347,0.201,4.46345530372482e-11,"0","EEF1G"
1.19558359608075e-14,0.416242143270218,0.778,0.613,1.49675110393349e-10,"0","HSPA8"
1.54765900614524e-14,0.543896131740418,0.618,0.449,1.93751430979323e-10,"0","SOD1"
1.59920969597981e-14,0.283718315968605,0.991,0.978,2.00205061839712e-10,"0","EEF1D"
2.30993764735174e-14,0.69083335973649,0.474,0.324,2.89181094071965e-10,"0","EIF3E"
4.63483710904721e-14,0.438541275411181,0.775,0.648,5.80235257681621e-10,"0","COX7C"
8.10553844169719e-14,0.259336119994262,1,0.989,1.01473235751607e-09,"0","NACA"
8.25511225837865e-14,0.687055020499054,0.574,0.423,1.03345750362642e-09,"0","TRAF3IP3"
8.30528498914903e-14,0.99223985155184,0.266,0.141,1.03973862779157e-09,"0","SOCS3"
8.74629244365555e-14,0.38066543219489,0.815,0.711,1.09494835102124e-09,"0","JUN"
