"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"3","GO:0050867","positive regulation of cell activation","14/46",1.77598644982731e-07,7.29634433137386e-06,14,"HLA-DOB/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0001775","cell activation","22/46",2.0369574665869e-07,7.79426949346405e-06,22,"CD79A/FCER2/MS4A1/HLA-DOB/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/IRF8/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/PRKCB"
"3","GO:0050870","positive regulation of T cell activation","12/46",2.05528404492967e-07,7.79426949346405e-06,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0050853","B cell receptor signaling pathway","8/46",2.23095347331695e-07,8.14711157292783e-06,8,"CD79A/MS4A1/CD72/BLK/CD79B/BANK1/MEF2C/PRKCB"
"3","GO:0002694","regulation of leukocyte activation","16/46",3.761109353202e-07,1.32444779366328e-05,16,"HLA-DOB/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:1903039","positive regulation of leukocyte cell-cell adhesion","12/46",4.11861466015215e-07,1.40032898445173e-05,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:1903037","regulation of leukocyte cell-cell adhesion","13/46",4.40877182673869e-07,1.44616448940951e-05,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0050851","antigen receptor-mediated signaling pathway","11/46",4.54676462187575e-07,1.44616448940951e-05,11,"CD79A/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/MEF2C/HLA-DPB1/HLA-DRB1/PRKCB"
"3","GO:0048584","positive regulation of response to stimulus","26/46",5.49747720050975e-07,1.69391016240707e-05,26,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/P2RX5/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/LY86/STX7/BIRC3/PRKCB"
"3","GO:0022409","positive regulation of cell-cell adhesion","12/46",9.18100372022644e-07,2.74317262671008e-05,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0050865","regulation of cell activation","16/46",9.90154536153333e-07,2.87144815484467e-05,16,"HLA-DOB/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0050863","regulation of T cell activation","13/46",1.17619484564409e-06,3.31350890801449e-05,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0002768","immune response-regulating cell surface receptor signaling pathway","13/46",1.74001810990119e-06,4.76571626767382e-05,13,"CD79A/FCER2/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/CD40/MEF2C/HLA-DPB1/HLA-DRB1/PRKCB"
"3","GO:0007159","leukocyte cell-cell adhesion","13/46",2.23939959157627e-06,5.96769728998432e-05,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
